status	module	chapter	artifact_type	target_path	source_label	purpose	review
include	Module 0	Audit Log Service running example	runnable-project	module-0-running-example/audit-log-service/	audit-log-service:cp5-implemented	Sanitized runnable Spring Boot service used throughout the book and education program.	approved
include	Module 1	Audit Log Service seed prompt	prompt	module-1-foundations/audit-log-service-seed-prompt/seed-prompt.md	audit-log-service:module-1-foundations-audit-log-service-seed-prompt-seed-prompt.md	Initial prompt used to introduce the running Audit Log Service case.	approved
include	Module 2	Shared language	rubric	module-2-single-agent-rules/shared-language/rubric.md	audit-log-service:module-2-single-agent-rules-shared-language-rubric.md	Rubric for positioning a team on the AI-assisted engineering maturity map.	approved
include	Module 2	Shared language	template	module-2-single-agent-rules/shared-language/access-map-template.md	audit-log-service:module-2-single-agent-rules-shared-language-access-map-template.md	Template for mapping repo, tooling, CI, secrets, and agent access.	approved
include	Module 2	Shared language	outline	module-2-single-agent-rules/shared-language/shared-language-outline.md	audit-log-service:module-2-single-agent-rules-shared-language-shared-language-outline.md	Short outline for the shared language used before writing steering rules.	approved
include	Module 2	Two-pass AGENTS.md	AGENTS.md	module-2-single-agent-rules/two-pass-agents-md/AGENTS.first-pass.md	audit-log-service:module-2-single-agent-rules-two-pass-agents-md-agents.first-pass.md	Thin first-pass steering file with hard invariants.	approved
include	Module 2	Two-pass AGENTS.md	AGENTS.md	module-2-single-agent-rules/two-pass-agents-md/AGENTS.second-pass.md	audit-log-service:module-2-single-agent-rules-two-pass-agents-md-agents.second-pass.md	Revised steering file after the agent produced a real aggregate and tests.	approved
include	Module 3	Spec-anchored development	spec	module-3-spec-driven-development/spec-anchored/product/requirements.md	audit-log-service:module-3-spec-driven-development-spec-anchored-product-requirements.md	Product-level requirements for the running Audit Log Service example.	approved
include	Module 3	Spec-anchored development	spec	module-3-spec-driven-development/spec-anchored/product/design.md	audit-log-service:module-3-spec-driven-development-spec-anchored-product-design.md	Product-level design for the running Audit Log Service example.	approved
include	Module 3	Spec-anchored development	spec	module-3-spec-driven-development/spec-anchored/product/tasks.md	audit-log-service:module-3-spec-driven-development-spec-anchored-product-tasks.md	Product-level tasks for the running Audit Log Service example.	approved
include	Module 3	Spec-anchored development	spec	module-3-spec-driven-development/spec-anchored/product/plan.md	audit-log-service:module-3-spec-driven-development-spec-anchored-product-plan.md	Execution plan/progress record for the running Audit Log Service example.	approved
include	Module 3	Query API specification	spec	module-3-spec-driven-development/query-api/query-api.md	audit-log-service:module-3-spec-driven-development-query-api-query-api.md	Feature specification for the read-only Query API over audit events.	approved
include	Module 4	Architecture tests	java	module-4-agent-team-scale/architecture-tests/LayerBoundaryArchUnitTest.java	audit-log-service:module-4-agent-team-scale-architecture-tests-layerboundaryarchunittest.java	Architecture test that turns package boundary rules into executable checks.	approved
include	Module 4	Quality gates	java	module-4-agent-team-scale/quality-gates/AuditEventEndpointIntegrationTest.java	audit-log-service:module-4-agent-team-scale-quality-gates-auditeventendpointintegrationtest.java	Integration test example used as a quality gate for a generated endpoint.	approved
include	Module 4	Quality gates	gradle	module-4-agent-team-scale/quality-gates/build.gradle.kts	audit-log-service:module-4-agent-team-scale-quality-gates-build.gradle.kts	Gradle configuration for the quality-gated endpoint example.	approved
include	Module 5	Adoption follow-up	homework	module-5-organization-adoption/follow-up/homework.md	audit-log-service:module-5-organization-adoption-follow-up-homework.md	Homework/checklist for continuing adoption work after the session.	approved
include	Module 5	Adoption follow-up	rubric	module-5-organization-adoption/follow-up/rubric-delta.md	audit-log-service:module-5-organization-adoption-follow-up-rubric-delta.md	Before/after rubric delta for adoption progress.	approved
include	Module 1	Module folder guide	README	module-1-foundations/README.md	generated:module-readme	Short orientation for Module 1: Foundations.	approved
include	Module 2	Module folder guide	README	module-2-single-agent-rules/README.md	generated:module-readme	Short orientation for Module 2: Single Agent Rules.	approved
include	Module 3	Module folder guide	README	module-3-spec-driven-development/README.md	generated:module-readme	Short orientation for Module 3: Spec-Driven Development.	approved
include	Module 4	Module folder guide	README	module-4-agent-team-scale/README.md	generated:module-readme	Short orientation for Module 4: Agent Team And Scale.	approved
include	Module 5	Module folder guide	README	module-5-organization-adoption/README.md	generated:module-readme	Short orientation for Module 5: Organization Adoption.	approved
include	Module 1	Three modes of working with AI	mermaid	module-1-foundations/three-modes-of-working-with-ai/code-blocks/en/01-agent-mode-plan-act-verify-fix.mmd	book-source:course-lesson-ai-work-modes-content:en:code-block:1	EN copyable mermaid block from Three modes of working with AI.	approved-code-only
include	Module 1	Feedback loop is more important than model choice	mermaid	module-1-foundations/feedback-loop-is-more-important-than-model-choice/code-blocks/en/01-the-agent-as-a-loss-function-why-the-generally-fine-signal-isnt-enough.mmd	book-source:course-lesson-feedback-loop-content:en:code-block:1	EN copyable mermaid block from Feedback loop is more important than model choice.	approved-code-only
include	Module 1	Prompt vs context	mermaid	module-1-foundations/prompt-vs-context/code-blocks/en/01-context-a-space-and-a-source-of-truth.mmd	book-source:course-lesson-prompt-vs-context-content:en:code-block:1	EN copyable mermaid block from Prompt vs context.	approved-code-only
include	Module 1	Prompt contract: from four to seven elements	code-block	module-1-foundations/prompt-contract-from-four-to-seven-elements/code-blocks/en/01-the-minimal-contract-four-elements.md	book-source:course-lesson-prompt-contract-content:en:code-block:1	EN copyable markdown block from Prompt contract: from four to seven elements.	approved-code-only
